Ariranha:	0.5873889892898841
Barra Bonita:	0.5950451005756298
Barretos:	0.6456364183979647
Bauru:	0.6401665589927767
Bebedouro:	0.3086661736321636
Franca:	0.5324205510041428
Ibitinga:	0.6693391493232649
Itapira:	0.4532742016986413
Ituverava:	0.6026138951156687
Jose Bonifacio:	0.3634869973174599
Lins:	0.6606423135728616
Marilia:	0.5914682617889602
Piracicaba:	0.5538071513433762
Pradopolis:	0.6631366913742587
Sao Carlos:	0.6501898511474749
Sao Simao (SP):	0.6592827515843541
Valparaiso:	0.6057141106057148
